,,,,,,,,,,,,,,,,Mean,St. Dev
TDAG,0.24,0.23,0.26,0.24,0.25,0.21,0.24,0.24,0.26,0.22,0.24,0.21,0.19,0.23,,0.23,0.019
DG,0.06,0.08,0.04,0.06,0.07,0.05,0.07,0.08,0.07,0.07,0.06,0.06,0.04,0.06,,0.06,0.012
CPT,0.22,0.28,0.24,0.27,0.29,0.26,0.28,0.26,0.29,0.26,0.26,0.24,0.24,0.25,,0.26,0.021
AKOM,0.33,0.32,0.34,0.31,0.35,0.30,0.30,0.32,0.36,0.30,0.34,0.30,0.29,0.32,,0.32,0.022
CPT+,0.18,0.22,0.20,0.24,0.24,0.22,0.25,0.24,0.25,0.24,0.22,0.20,0.22,0.21,,0.22,0.021
LZ78,0.17,0.18,0.20,0.20,0.20,0.19,0.18,0.16,0.21,0.15,0.21,0.17,0.15,0.19,,0.18,0.020
Mark1,0.12,0.14,0.11,0.13,0.14,0.12,0.12,0.13,0.13,0.10,0.10,0.11,0.07,0.12,,0.12,0.018
SubSeq,0.29,0.30,0.30,0.30,0.31,0.30,0.24,0.29,0.30,0.23,0.28,0.30,0.28,0.30,,0.29,0.024
