,,,,,,,,,,,,,,,,Mean,St. Dev
TDAG,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,,0.020,0.002
DG,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.31,0.33,0.33,0.32,0.32,0.31,0.33,,0.320,0.007
CPT,0.38,0.36,0.37,0.38,0.37,0.38,0.37,0.36,0.38,0.38,0.37,0.38,0.36,0.39,,0.373,0.010
AKOM,0.22,0.22,0.23,0.22,0.23,0.23,0.21,0.21,0.23,0.23,0.22,0.22,0.22,0.23,,0.224,0.007
CPT+,0.42,0.40,0.41,0.42,0.41,0.42,0.41,0.40,0.42,0.43,0.41,0.40,0.41,0.43,,0.415,0.010
LZ78,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.23,0.26,0.25,0.24,0.24,0.23,0.25,,0.245,0.007
Mark1,0.26,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.27,0.26,0.25,0.25,0.25,0.27,,0.256,0.007
SubSeq,0.36,0.35,0.33,0.33,0.32,0.34,0.33,0.34,0.33,0.34,0.34,0.33,0.32,0.35,,0.336,0.011
