,,,,,,,,,,,,,,,,Mean,St. Dev
TDAG,0.08,0.06,0.10,0.06,0.08,0.06,0.06,0.07,0.07,0.07,0.10,0.09,0.06,0.05,,0.073,0.015
DG,0.24,0.25,0.26,0.27,0.24,0.22,0.27,0.24,0.23,0.25,0.24,0.23,0.25,0.30,,0.248,0.020
CPT,0.37,0.28,0.44,0.35,0.32,0.30,0.36,0.32,0.37,0.38,0.39,0.36,0.32,0.34,,0.349,0.041
AKOM,0.24,0.29,0.29,0.24,0.24,0.25,0.26,0.28,0.21,0.28,0.29,0.27,0.26,0.26,,0.263,0.024
CPT+,0.38,0.29,0.41,0.35,0.30,0.32,0.35,0.35,0.34,0.35,0.39,0.36,0.35,0.39,,0.352,0.034
LZ78,0.26,0.25,0.29,0.24,0.25,0.25,0.26,0.25,0.22,0.27,0.22,0.24,0.27,0.25,,0.251,0.018
Mark1,0.23,0.24,0.25,0.24,0.25,0.23,0.22,0.20,0.21,0.24,0.20,0.24,0.25,0.24,,0.231,0.018
SubSeq,0.30,0.34,0.29,0.30,0.28,0.26,0.24,0.24,0.32,0.25,0.29,0.32,0.31,0.28,,0.287,0.029
