,,,,,,,,,,,,,,,,Mean,St. Dev
TDAG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.000,0.000
DG,0.02,0.02,0.02,0.04,0.02,0.00,0.06,0.00,0.04,0.00,0.04,0.02,0.00,0.02,,0.021,0.018
CPT,0.38,0.33,0.31,0.29,0.31,0.42,0.27,0.23,0.46,0.35,0.38,0.38,0.40,0.33,,0.347,0.064
AKOM,0.10,0.04,0.08,0.08,0.12,0.06,0.06,0.04,0.12,0.06,0.04,0.13,0.10,0.09,,0.078,0.031
CPT+,0.37,0.29,0.29,0.31,0.31,0.38,0.27,0.23,0.42,0.33,0.35,0.40,0.38,0.31,,0.332,0.055
LZ78,0.13,0.04,0.08,0.02,0.04,0.00,0.06,0.04,0.04,0.04,0.06,0.06,0.06,0.09,,0.053,0.033
Mark1,0.00,0.02,0.06,0.08,0.02,0.08,0.04,0.02,0.00,0.02,0.08,0.08,0.10,0.06,,0.045,0.032
SubSeq,0.213,0.212,0.234,0.192,0.288,0.338,0.223,0.173,0.135,0.250,0.269,0.231,0.212,0.217,,0.228,0.049
