,,,,,,,,,,,,,,,,Mean,St. Dev
TDAG,0.31,0.34,0.31,0.35,0.32,0.32,0.28,0.3,0.35,0.3,0.32,0.29,0.33,0.28,,0.313,0.023
DG,0.52,0.54,0.56,0.58,0.54,0.55,0.53,0.57,0.57,0.57,0.54,0.56,0.59,0.56,,0.557,0.019
CPT,0.59,0.62,0.61,0.58,0.58,0.59,0.53,0.6,0.61,0.6,0.6,0.58,0.59,0.6,,0.59,0.022
AKOM,0.49,0.48,0.52,0.52,0.48,0.48,0.44,0.46,0.51,0.45,0.48,0.44,0.49,0.46,,0.479,0.026
CPT+,0.59,0.62,0.61,0.59,0.57,0.61,0.54,0.6,0.61,0.6,0.61,0.58,0.6,0.59,,0.593,0.021
LZ78,0.44,0.41,0.46,0.45,0.43,0.44,0.43,0.42,0.46,0.38,0.44,0.41,0.45,0.38,,0.429,0.024
Mark1,0.36,0.36,0.4,0.42,0.37,0.4,0.37,0.36,0.39,0.34,0.41,0.36,0.42,0.36,,0.381,0.027
SubSeq,0.62,0.63,0.66,0.65,0.63,0.64,0.63,0.63,0.65,0.67,0.65,0.62,0.63,0.66,,0.64,0.016
