,,,,,,,,,,,,,,,,Mean,St. Dev
TDAG,0.07,0.04,0.10,0.07,0.07,0.06,0.07,0.06,0.08,0.07,0.06,0.05,0.07,0.07,,0.067,0.013
DG,0.36,0.34,0.41,0.36,0.37,0.37,0.36,0.36,0.33,0.35,0.39,0.35,0.31,0.40,,0.361,0.027
CPT,0.35,0.36,0.40,0.35,0.34,0.37,0.35,0.40,0.36,0.41,0.36,0.36,0.37,0.38,,0.369,0.022
AKOM,0.29,0.28,0.37,0.29,0.28,0.31,0.33,0.33,0.32,0.31,0.31,0.32,0.31,0.33,,0.314,0.024
CPT+,0.36,0.37,0.41,0.36,0.33,0.40,0.38,0.40,0.36,0.40,0.38,0.36,0.35,0.38,,0.375,0.023
LZ78,0.29,0.31,0.38,0.34,0.33,0.34,0.33,0.34,0.32,0.35,0.34,0.33,0.31,0.34,,0.332,0.021
Mark1,0.26,0.28,0.35,0.32,0.29,0.35,0.31,0.32,0.30,0.29,0.35,0.31,0.29,0.32,,0.310,0.026
SubSeq,0.33,0.34,0.33,0.31,0.34,0.32,0.34,0.33,0.31,0.34,0.29,0.35,0.33,0.33,,0.329,0.014
