#sequencies, Sigma, #items_per_sequence, #distinct_per_sequence, #occurence_on_sequence, Overall_Accur, #minPredictionRario, splitMethod, splitLength, noiseRatio, DatasetName
5000,10,42.1658,8.989,4.690822115919457,0.365,2.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,2.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.55480015,2.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,2.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,2.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,2.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,2.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.41845703,2.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2878,2.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8732,2.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1182,2.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3282,2.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,2.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1502,2.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.32230216,3.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.27671233,3.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5392,3.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,8.108656E-4,3.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,3.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.36317778,3.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.1868,3.0,0,1.0,0.0,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,3.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,3.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,3.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,3.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.55583024,3.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,3.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,3.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,3.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,3.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.4189453,3.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2872,3.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8722,3.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.119,3.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3276,3.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,3.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.152,3.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.31860226,4.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.28219178,4.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5402,4.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,6.081492E-4,4.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,4.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.3624889,4.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.1842,4.0,0,1.0,0.0,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,4.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,4.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,4.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,4.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.55480015,4.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,4.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,4.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,4.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,4.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.4189453,4.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2872,4.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8714,4.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1186,4.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3294,4.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,4.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1522,4.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.31901336,5.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.28219178,5.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5396,5.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.001013582,5.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,5.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.36297777,5.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.1826,5.0,0,1.0,0.0,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,5.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,5.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,5.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,5.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.55377007,5.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,5.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,5.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,5.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,5.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.41870117,5.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.288,5.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8752,5.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1186,5.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3276,5.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,5.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1512,5.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.3212744,6.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.27534246,6.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5402,6.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,8.108656E-4,6.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,6.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.36235556,6.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.186,6.0,0,1.0,0.0,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,6.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,6.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,6.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,6.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.5541821,6.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,6.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,6.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,6.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,6.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.41845703,6.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2876,6.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8708,6.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1188,6.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3304,6.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,6.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1508,6.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.32065776,7.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.27671233,7.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5388,7.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.001013582,7.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,7.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.36226666,7.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.1838,7.0,0,1.0,0.0,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,7.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,7.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,7.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,7.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.5543881,7.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,7.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,7.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,7.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,7.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.4189453,7.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2872,7.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8718,7.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.118,7.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.329,7.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,7.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1512,7.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.31860226,8.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.2780822,8.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5386,8.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,4.054328E-4,8.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,8.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.3622889,8.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.1828,8.0,0,1.0,0.0,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,8.0,0,1.0,0.0,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,8.0,0,1.0,0.0,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,8.0,0,1.0,0.0,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,8.0,0,1.0,0.0,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.55583024,8.0,0,1.0,0.0,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,8.0,0,1.0,0.0,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.26494268,8.0,0,1.0,0.0,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,8.0,0,1.0,0.0,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3826,8.0,0,1.0,0.0,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.4189453,8.0,0,1.0,0.0,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.2876,8.0,0,1.0,0.0,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8728,8.0,0,1.0,0.0,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1186,8.0,0,1.0,0.0,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.328,8.0,0,1.0,0.0,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.303,8.0,0,1.0,0.0,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.15,8.0,0,1.0,0.0,SPICE15
4865,494,11.227955,11.227955,1.0,0.32147995,9.0,0,1.0,0.0,BMS
730,267,93.00411,51.994522,1.78872905469491,0.27671233,9.0,0,1.0,0.0,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5396,9.0,0,1.0,0.0,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.001013582,9.0,0,1.0,0.0,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0072,9.0,0,1.0,0.0,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.36282223,9.0,0,1.0,0.0,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.1858,9.0,0,1.0,0.0,FIFA
